id,name,state,main_festival,cuisine,best_time_to_visit,nearby_attractions,category,entry_fee,safety_index,weather_impact,popularity_score,google_reviews_sentiment,nearest_airport,nearest_train_station
95,Chhindwara,Madhya Pradesh,Pola Festival,"Dal Bafla, Mahua Drink",Oct-Mar,"Patalkot Valley, Tamia Hills, Tribal Museum","Tribal, Nature",0.0,8.2,6.0,7.6,0.0,Nagpur Airport,Chhindwara Station
96,Narsinghpur,Madhya Pradesh,Narmada Jayanti,"Pitha, Dal Bafla",Oct-Mar,"Narmada Mandir, Bramhan Ghat, Jhoteshwar Temple","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Jabalpur Airport,Narsinghpur Station
97,Bhuj,Gujarat,Rann Utsav,"Dabeli, Kutchi Dhokla",Nov-Feb,"White Rann, Aina Mahal, Kutch Museum","Cultural, Desert",130.0,8.2,6.0,8.35,0.0,Bhuj Airport,Bhuj Station
98,Gandhinagar,Gujarat,Navratri,"Fafda-Jalebi, Undhiyu",Oct-Mar,"Akshardham Temple, Indroda Park, Adalaj Stepwell","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Ahmedabad Airport,Gandhinagar Station
99,Porbandar,Gujarat,Janmashtami,"Sev Usal, Dhokla",Oct-Mar,"Kirti Mandir, Sudama Temple, Chowpatty Beach","Historical, Coastal",130.0,8.2,6.0,8.35,0.0,Porbandar Airport,Porbandar Station
100,Bhavnagar,Gujarat,Mahashivratri,"Locho, Fafda-Jalebi",Oct-Mar,"Takhteshwar Temple, Victoria Park, Nishkalank Mahadev","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Bhavnagar Airport,Bhavnagar Station
101,Dwarka,Gujarat,Janmashtami,"Khichdi, Thepla",Oct-Mar,"Dwarkadhish Temple, Rukmini Temple, Bet Dwarka","Spiritual, Coastal",130.0,8.2,6.0,8.35,0.0,Jamnagar Airport,Dwarka Station
102,Surendranagar,Gujarat,Makar Sankranti,"Ganthiya, Bhakri",Oct-Mar,"Wadhwan, Trineteshwar Temple, Chotila Temple","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Rajkot Airport,Surendranagar Station
103,Narmada,Gujarat,Diwali,"Undhiyu, Jalebi",Oct-Mar,"Statue of Unity, Sardar Sarovar Dam, Poicha Temple","Monumental, Nature",130.0,8.2,6.0,8.35,0.0,Vadodara Airport,Bharuch Station
104,Junagadh,Gujarat,Maha Shivratri,"Khaja, Fafda",Oct-Mar,"Girnar, Uparkot Fort, Ashoka Rock Edicts","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Rajkot Airport,Junagadh Station
105,Mehsana,Gujarat,Uttarayan,"Puran Poli, Undhiyu",Oct-Mar,"Modhera Sun Temple, Bahuchar Mata Temple, Thol Bird Sanctuary","Historical, Nature",0.0,8.2,6.0,8.3,0.0,Ahmedabad Airport,Mehsana Station
106,Anand,Gujarat,Navratri,"Dhokla, Methi Thepla",Oct-Mar,"Amul Dairy, Ranchhodrai Temple, Swaminarayan Temple","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Vadodara Airport,Anand Station
107,Valsad,Gujarat,Ganesh Chaturthi,"Puran Poli, Sev Khamani",Oct-Mar,"Tithal Beach, Wilson Hills, Parnera Hill","Nature, Coastal",130.0,8.2,6.0,8.35,0.0,Surat Airport,Valsad Station
108,Navsari,Gujarat,Diwali,"Bhakri, Parsi Dhansak",Oct-Mar,"Dandi Beach, Udvada, Vansda National Park","Historical, Nature",0.0,8.2,6.0,8.3,0.0,Surat Airport,Navsari Station
109,Rajkot,Gujarat,Navratri,"Kathiawadi Thali, Ghughra",Oct-Mar,"Rotary Dolls Museum, Watson Museum, Khambhalida Caves","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Rajkot Airport,Rajkot Station
110,Amreli,Gujarat,Diwali,"Khichdi, Thepla",Oct-Mar,"Gir National Park, Khodiyar Temple, Rajmahal","Wildlife, Spiritual",130.0,8.2,6.0,8.35,0.0,Rajkot Airport,Amreli Station
111,Dang,Gujarat,Dang Darbar,"Mahua Drink, Dal Paniya",Oct-Mar,"Saputara, Gira Falls, Purna Wildlife Sanctuary","Tribal, Nature",0.0,8.2,6.0,7.6,0.0,Surat Airport,Waghai Station
112,Patan,Gujarat,Makar Sankranti,"Fafda-Jalebi, Sev",Oct-Mar,"Rani ki Vav, Sahastra Ling Lake, Patan Patola","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Patan Station
113,Gondal,Gujarat,Navratri,"Undhiyu, Farsan",Oct-Mar,"Naulakha Palace, Swaminarayan Temple, Bhuvaneshwari Temple","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Rajkot Airport,Gondal Station
114,Palanpur,Gujarat,Holi,"Fafda, Dabeli",Oct-Mar,"Balaram Palace, Kedarnath Mahadev Temple, Jessore Sloth Bear Sanctuary","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Palanpur Station
115,Botad,Gujarat,Diwali,"Khichdi, Bhakri",Oct-Mar,"Sarangpur Hanuman Temple, Ranpur Fort, Gopnath Beach","Spiritual, Coastal",130.0,8.2,6.0,8.35,0.0,Rajkot Airport,Botad Station
116,Dahod,Gujarat,Holi,"Dabeli, Bhajiya",Oct-Mar,"Ratanmahal Sloth Bear Sanctuary, Chandni Baug","Wildlife, Nature",325.0,8.2,6.0,9.0,0.0,Vadodara Airport,Dahod Station
117,Mahisagar,Gujarat,Diwali,"Dhokla, Fafda",Oct-Mar,"Kadana Dam, Pavagarh Hill, Kaleshwari Group of Monuments","Nature, Historical",130.0,8.2,6.0,8.35,0.0,Vadodara Airport,Godhra Station
118,Bharuch,Gujarat,Makar Sankranti,"Locho, Sev Khamani",Oct-Mar,"Golden Bridge, Ninai Waterfall, Kabirvad","Historical, Nature",0.0,8.2,6.0,8.3,0.0,Surat Airport,Bharuch Station
119,Morbi,Gujarat,Navratri,"Khichdi, Dhokla",Oct-Mar,"Mani Mandir, Nehru Gate, Art Deco Buildings","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Rajkot Airport,Morbi Station
120,Kheda,Gujarat,Diwali,"Farsan, Thepla",Oct-Mar,"Vadtal Swaminarayan Temple, Ranchhodrai Temple, Jalampura Jain Temple","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Ahmedabad Airport,Nadiad Station
121,Mundra,Gujarat,Diwali,"Kutchi Dabeli, Sev Khamani",Oct-Mar,"Mundra Port, Shree Bhadreshwar Jain Tirth, Mandvi Beach","Coastal, Historical",80.0,8.2,6.0,8.4,0.0,Bhuj Airport,Gandhidham Station
122,Mandvi,Gujarat,Janmashtami,"Kutchi Khichdi, Bhakri",Oct-Mar,"Vijay Vilas Palace, Mandvi Beach, Shyamji Krishna Varma Memorial","Coastal, Historical",80.0,8.2,6.0,8.4,0.0,Bhuj Airport,Bhuj Station
123,Chhota Udepur,Gujarat,Diwali,"Mahua Drink, Thepla",Oct-Mar,"Kali Niketan Palace, Jambughoda Wildlife Sanctuary","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Vadodara Airport,Chhota Udepur Station
124,Devbhumi Dwarka,Gujarat,Janmashtami,"Undhiyu, Sev Khamani",Oct-Mar,"Dwarkadhish Temple, Nageshwar Jyotirlinga, Beyt Dwarka","Spiritual, Coastal",130.0,8.2,6.0,8.35,0.0,Jamnagar Airport,Dwarka Station
125,Kutch,Gujarat,Rann Utsav,"Kutchi Dabeli, Fafda",Nov-Feb,"White Rann, Kala Dungar, Kutch Fossil Park","Desert, Cultural",130.0,8.2,6.0,8.35,0.0,Bhuj Airport,Bhuj Station
126,Dholka,Gujarat,Navratri,"Farsan, Jalebi",Oct-Mar,"Lothal, Dholka Jain Temple, Sarangpur Temple","Historical, Archaeological",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Dholka Station
127,Bardoli,Gujarat,Diwali,"Locho, Thepla",Oct-Mar,"Bardoli Satyagraha Memorial, Sardar Patel Museum","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Surat Airport,Bardoli Station
128,Jamnagar,Gujarat,Makar Sankranti,"Kathiawadi Thali, Dhokla",Oct-Mar,"Lakhota Lake, Marine National Park, Balachadi Beach","Cultural, Nature",130.0,8.2,6.0,8.35,0.0,Jamnagar Airport,Jamnagar Station
129,Jetpur,Gujarat,Navratri,"Bhakri, Sev Tameta",Oct-Mar,"Jetpur Textile Market, Bileshwar Temple, Hinglaj Mata Temple","Cultural, Industrial",130.0,8.2,6.0,8.35,0.0,Rajkot Airport,Jetpur Station
130,Halol,Gujarat,Diwali,"Undhiyu, Sev Usal",Oct-Mar,"Pavagadh Hill, Champaner, Jand Hanuman Temple","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Vadodara Airport,Halol Station
131,Kalol,Gujarat,Navratri,"Bhakri, Dhokla",Oct-Mar,"Adalaj Stepwell, Mahudi Jain Temple","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Ahmedabad Airport,Kalol Station
132,Sanand,Gujarat,Uttarayan,"Jalebi-Fafda, Thepla",Oct-Mar,"Nalsarovar Bird Sanctuary, Tata Motors Plant","Nature, Industrial",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Sanand Station
133,Danta,Gujarat,Holi,"Khichdi, Farsan",Oct-Mar,"Balaram Palace, Ambaji Temple","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Palanpur Station
134,Moraj,Gujarat,Diwali,"Undhiyu, Sev Khamani",Oct-Mar,"Morbi Palace, Mani Mandir","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Rajkot Airport,Morbi Station
135,Unjha,Gujarat,Diwali,"Dabeli, Puran Poli",Oct-Mar,"Umiya Mata Temple, Market Yard","Cultural, Religious",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Unjha Station
136,Viramgam,Gujarat,Navratri,"Dhokla, Fafda",Oct-Mar,"Nal Sarovar Bird Sanctuary, Becharaji Temple","Nature, Spiritual",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Viramgam Station
137,Mansa,Gujarat,Uttarayan,"Jalebi, Farsan",Oct-Mar,"Swaminarayan Temple, Sarita Udyan","Cultural, Spiritual",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Gandhinagar Station
138,Bhanvad,Gujarat,Makar Sankranti,"Dabeli, Farsan",Oct-Mar,"Ghumli Temples, Barda Hills Wildlife Sanctuary","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Jamnagar Airport,Bhanvad Station
139,Kadi,Gujarat,Diwali,"Khichdi, Thepla",Oct-Mar,"Vishweshwar Mahadev Temple, Akshardham Temple","Cultural, Spiritual",130.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Kadi Station
140,Himatnagar,Gujarat,Navratri,"Dabeli, Undhiyu",Oct-Mar,"Khedbrahma Temple, Polo Forest","Historical, Nature",0.0,8.2,6.0,8.3,0.0,Ahmedabad Airport,Himatnagar Station
141,Vadnagar,Gujarat,Diwali,"Farsan, Jalebi",Oct-Mar,"Hatkeshwar Mahadev Temple, Kirti Toran","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Ahmedabad Airport,Mehsana Station
142,Savarkundla,Gujarat,Makar Sankranti,"Thepla, Sev Usal",Oct-Mar,"Jalaram Bapa Temple, Khodiyar Mata Temple","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Rajkot Airport,Savarkundla Station
143,Veraval,Gujarat,Janmashtami,"Bhajiya, Fafda",Oct-Mar,"Somnath Temple, Bhalka Tirth, Prabhas Patan","Spiritual, Coastal",130.0,8.2,6.0,8.35,0.0,Diu Airport,Veraval Station
144,Wadhwan,Gujarat,Navratri,"Sev Tameta, Khakhra",Oct-Mar,"Wadhwan Stepwell, Swaminarayan Temple","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Rajkot Airport,Surendranagar Station
145,Jaipur,Rajasthan,Jaipur Literature Festival,"Dal Baati Churma, Ghewar",Oct-Mar,"Hawa Mahal, Amer Fort, City Palace, Jantar Mantar","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur International Airport,Jaipur Junction
146,Udaipur,Rajasthan,Mewar Festival,"Laal Maas, Kachori",Oct-Mar,"Lake Pichola, City Palace, Jag Mandir, Sajjangarh Fort","Historical, Romantic",130.0,8.2,6.0,8.35,0.0,Maharana Pratap Airport,Udaipur City Station
147,Jodhpur,Rajasthan,Marwar Festival,"Mirchi Bada, Mawa Kachori",Oct-Mar,"Mehrangarh Fort, Umaid Bhawan, Jaswant Thada, Mandore Gardens","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jodhpur Airport,Jodhpur Junction
148,Jaisalmer,Rajasthan,Desert Festival,"Ker Sangri, Gatte Ki Sabzi",Oct-Mar,"Jaisalmer Fort, Sam Sand Dunes, Patwon Ki Haveli, Gadisar Lake","Desert, Historical",130.0,8.2,6.0,8.35,0.0,Jaisalmer Airport,Jaisalmer Station
149,Bikaner,Rajasthan,Camel Festival,"Bikaneri Bhujia, Raj Kachori",Oct-Mar,"Junagarh Fort, Karni Mata Temple, Lalgarh Palace, Gajner Palace","Cultural, Wildlife",130.0,8.2,6.0,8.35,0.0,Nal Airport,Bikaner Junction
150,Pushkar,Rajasthan,Pushkar Camel Fair,"Dal Baati Churma, Malpua",Oct-Mar,"Pushkar Lake, Brahma Temple, Savitri Temple, Man Mahal","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Jaipur Airport,Ajmer Junction
151,Ajmer,Rajasthan,Urs Festival,"Kadhi Kachori, Ghewar",Oct-Mar,"Ajmer Sharif Dargah, Ana Sagar Lake, Taragarh Fort, Akbar’s Palace","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Jaipur Airport,Ajmer Junction
152,Chittorgarh,Rajasthan,Jauhar Mela,"Baati Chokha, Moong Halwa",Oct-Mar,"Chittorgarh Fort, Vijay Stambh, Kirti Stambh, Rana Kumbha Palace","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Udaipur Airport,Chittorgarh Station
153,Mount Abu,Rajasthan,Summer Festival,"Rajasthani Thali, Rabri",Oct-Mar,"Nakki Lake, Dilwara Temples, Guru Shikhar, Achalgarh Fort","Hill Station, Nature",187.5,8.2,6.0,8.9,0.0,Udaipur Airport,Abu Road Station
154,Kumbhalgarh,Rajasthan,Kumbhalgarh Festival,"Dal Baati, Malpua",Oct-Mar,"Kumbhalgarh Fort, Badal Mahal, Parshuram Mahadev Temple, Wildlife Sanctuary","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Udaipur Airport,Falna Station
155,Bundi,Rajasthan,Keshorai Patan Fair,"Lapsi, Ghewar",Oct-Mar,"Taragarh Fort, Bundi Palace, Step Wells, Nawal Sagar","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Kota Junction
156,Alwar,Rajasthan,Matsya Festival,"Kalakand, Rabri",Oct-Mar,"Bala Quila, Sariska Tiger Reserve, Siliserh Lake, Bhangarh Fort","Wildlife, Historical",130.0,8.2,6.0,8.35,0.0,Jaipur Airport,Alwar Junction
157,Sawai Madhopur,Rajasthan,Ranthambore Festival,"Junglee Maas, Bajra Roti",Oct-Mar,"Ranthambore National Park, Ranthambore Fort, Rajiv Gandhi Museum","Wildlife, Historical",130.0,8.2,6.0,8.35,0.0,Jaipur Airport,Sawai Madhopur Station
158,Bharatpur,Rajasthan,Brij Festival,"Churma, Ghewar",Oct-Mar,"Keoladeo National Park, Lohagarh Fort, Ganga Mandir, Deeg Palace","Wildlife, Historical",130.0,8.2,6.0,8.35,0.0,Agra Airport,Bharatpur Junction
159,Nagaur,Rajasthan,Nagaur Cattle Fair,"Rajasthani Thali, Rabri",Oct-Mar,"Nagaur Fort, Tarkeen Dargah, Amar Singh’s Cenotaph, Khimsar Fort","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Jodhpur Airport,Nagaur Station
160,Jhunjhunu,Rajasthan,Shekhawati Festival,"Bajre Ki Roti, Gatte",Oct-Mar,"Rani Sati Temple, Khetri Mahal, Mandawa Havelis, Nawalgarh Fort","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Jhunjhunu Station
161,Barmer,Rajasthan,Thar Festival,"Gatte Ki Sabzi, Ker Sangri",Oct-Mar,"Barmer Fort, Kiradu Temples, Mahabar Sand Dunes, Devka Sun Temple","Desert, Cultural",130.0,8.2,6.0,8.35,0.0,Jodhpur Airport,Barmer Station
162,Sikar,Rajasthan,Gangaur Festival,"Bajre Ki Khichdi, Moong Halwa",Oct-Mar,"Harshnath Temple, Laxmangarh Fort, Jeen Mata Temple, Sethani Ka Johara","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Sikar Station
163,Pali,Rajasthan,Godwar Festival,"Gatte Ki Sabzi, Rabri",Oct-Mar,"Ranakpur Jain Temple, Jawai Dam, Om Banna Temple, Nimbo Ka Nath","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Jodhpur Airport,Pali Station
164,Dholpur,Rajasthan,Bateshwar Fair,"Bedai, Dal Baati",Oct-Mar,"Dholpur Palace, Machkund Temple, Shergarh Fort, National Chambal Sanctuary","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Agra Airport,Dholpur Junction
165,Tonk,Rajasthan,Tonk Kite Festival,"Dal Bafla, Ghewar",Oct-Mar,"Sunehri Kothi, Rasiya Ki Tekri, Bisalpur Dam, Hathi Bhata","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Jaipur Airport,Tonk Station
166,Jalore,Rajasthan,Veer Tejaji Fair,"Khoba Roti, Rabri",Oct-Mar,"Jalore Fort, Sundha Mata Temple, Malik Shah’s Tomb, Sirey Mandir","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Jodhpur Airport,Jalore Station
167,Karauli,Rajasthan,Kaila Devi Fair,"Dal Baati, Churma",Oct-Mar,"Kaila Devi Temple, City Palace, Madan Mohanji Temple, Timangarh Fort","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Jaipur Airport,Gangapur City Station
168,Hanumangarh,Rajasthan,Gogaji Fair,"Dal Baati, Lapsi",Oct-Mar,"Bhatner Fort, Kalibangan Archaeological Site, Brahmani Mata Temple, Gurdwara Sri Kabootar Sahib","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Bikaner Airport,Hanumangarh Junction
169,Baran,Rajasthan,Dol Mela,"Dal Baati Churma, Ghewar",Oct-Mar,"Shergarh Fort, Sitabari, Bhand Devra Temple, Kanya Dah","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Kota Airport,Baran Station
170,Dausa,Rajasthan,Abhaneri Festival,"Dal Bafla, Churma",Oct-Mar,"Chand Baori, Mehandipur Balaji, Harshat Mata Temple, Bhandarej","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Jaipur Airport,Dausa Station
171,Dungarpur,Rajasthan,Baneshwar Fair,"Gatte Ki Sabzi, Moong Halwa",Oct-Mar,"Juna Mahal, Gaib Sagar Lake, Baneshwar Temple, Udai Bilas Palace","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Udaipur Airport,Dungarpur Station
172,Jhalawar,Rajasthan,Chandrabhaga Fair,"Dal Baati, Lapsi",Oct-Mar,"Jhalawar Fort, Gagron Fort, Chandrabhaga Temples, Sun Temple","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Kota Airport,Jhalawar Station
173,Churu,Rajasthan,Gangaur Festival,"Bajre Ki Roti, Gatte",Oct-Mar,"Churu Fort, Sethani Ka Johara, Surana Havelis, Tal Chappar Sanctuary","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Jaipur Airport,Churu Station
174,Pratapgarh,Rajasthan,Sheetla Mata Fair,"Rabri, Kachori",Oct-Mar,"Devgarh, Sita Mata Wildlife Sanctuary, Bhanwar Mata Temple","Wildlife, Historical",130.0,8.2,6.0,8.35,0.0,Udaipur Airport,Mandsaur Station
175,Sirohi,Rajasthan,Parshuram Jayanti,"Gatte Ki Sabzi, Bajre Ki Roti",Oct-Mar,"Ajari Temple, Markundeshwar Cave, Chandravati, Mirpur Temple","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Udaipur Airport,Abu Road Station
176,Rajsamand,Rajasthan,Jhal Jhoolni Ekadashi,"Dal Baati Churma, Ghewar",Oct-Mar,"Rajsamand Lake, Kumbhalgarh Fort, Haldighati, Dwarkadhish Temple","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Udaipur Airport,Rajsamand Station
177,Tonk,Rajasthan,Muharram,"Bajre Ki Roti, Malpua",Oct-Mar,"Sunehri Kothi, Hathi Bhata, Bisalpur Dam, Rasiya Ki Tekri","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Tonk Station
178,Banswara,Rajasthan,Ghotia Amba Fair,"Dal Baati, Rabri",Oct-Mar,"Mahi Dam, Anand Sagar Lake, Tripura Sundari Temple, Andeshwar Jain Temple","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Udaipur Airport,Ratlam Station
179,Pali,Rajasthan,Godwar Festival,"Rajasthani Thali, Bajra Roti",Oct-Mar,"Ranakpur Jain Temple, Om Banna Temple, Jawai Dam","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Jodhpur Airport,Pali Station
180,Karoli,Rajasthan,Gangaur Festival,"Kadhi Kachori, Ghewar",Oct-Mar,"Kaila Devi Temple, City Palace, Timangarh Fort","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Jaipur Airport,Gangapur City Station
181,Sardarshahar,Rajasthan,Gangaur Festival,"Dal Baati Churma, Churma Laddoo",Oct-Mar,"Shri Digamber Jain Mandir, Raghunathji Temple, Sethani Ka Johara","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Jaipur Airport,Sardarshahar Station
182,Beawar,Rajasthan,Badshah Mela,"Dal Baati Churma, Ghewar",Oct-Mar,"Shree Sanwaliya Seth Temple, Beawar Fort, Magarmal Temple","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Beawar Station
183,Fatehpur,Rajasthan,Nagaur Cattle Fair,"Gatte Ki Sabzi, Rabri",Oct-Mar,"Fatehpur Fort, Nadol, Devgarh, Fatehpur Haveli","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Fatehpur Station
184,Ramgarh,Rajasthan,Teej Festival,"Dal Baati Churma, Ghewar",Oct-Mar,"Ramgarh Lake, Jamwa Mata Temple, Bagh Palace","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Ramgarh Station
185,Shahpura,Rajasthan,Shahpura Gangaur Festival,"Dal Baati Churma, Moong Halwa",Oct-Mar,"Shahpura Palace, Shahpura Haveli, Surya Mandir","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Shahpura Station
186,Kotputli,Rajasthan,Gogaji Fair,"Rabri, Bajre Ki Roti",Oct-Mar,"Shiv Temple, Neelkanth Mahadev Temple, Kotputli Fort","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Jaipur Airport,Kotputli Station
187,Kishangarh,Rajasthan,Phool Mahal Festival,"Dal Baati, Ghewar",Oct-Mar,"Kishangarh Fort, Phool Mahal Palace, Gundolav Lake","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Kishangarh Station
188,Mahwa,Rajasthan,Mahwa Mahotsav,"Dal Baati, Churma Laddoo",Oct-Mar,"Mahwa Fort, Radha Krishna Temple, Mansarovar Lake","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Mahwa Station
189,Raisinghnagar,Rajasthan,Gangaur Festival,"Dal Baati Churma, Rabri",Oct-Mar,"Baba Ramdev Temple, Maharaja Palace, Raisinghnagar Fort","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Raisinghnagar Station
190,Ladnun,Rajasthan,Mahavir Jayanti,"Dal Baati, Rabri",Oct-Mar,"Jain Vishwa Bharati Institute, Ladnun Fort, Jain Temples","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Jaipur Airport,Ladnun Station
191,Nawalgarh,Rajasthan,Shekhawati Festival,"Bajre Ki Roti, Ghewar",Oct-Mar,"Nawalgarh Fort, Roop Niwas Palace, Murarka Haveli","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Nawalgarh Station
192,Mandawa,Rajasthan,Shekhawati Festival,"Dal Baati Churma, Rabri",Oct-Mar,"Mandawa Fort, Murmuria Haveli, Harlalka Well","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Jaipur Airport,Jhunjhunu Station
193,Nathdwara,Rajasthan,"Janmashtami, Annakut Festival","Dal Baati Churma, Mohanthal",Oct-Mar,"Shrinathji Temple, Charbhuja Temple, Dwarkadheesh Temple","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Udaipur Airport,Mavli Junction
194,Eklingji (Kailashpuri),Rajasthan,Mahashivratri,"Gatte Ki Sabzi, Rabri",Oct-Mar,"Eklingji Temple, Nagda, Sahastra Bahu Temples","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Udaipur Airport,Udaipur City Station
195,Kumbhalgarh Fort,Rajasthan,Kumbhalgarh Festival,"Dal Baati, Rabri",Oct-Mar,"Kumbhalgarh Wildlife Sanctuary, Badal Mahal, Vedi Temple","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Udaipur Airport,Falna Station
